id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
171200,"20,736","8,007",70,85,"7,852",66,"1,001",17,61,20,206,370,210,"5,825",76
171300,"16,844","6,427",62,52,"6,313",46,"1,301",16,94,14,220,326,263,"3,968",65
171400,"51,049","24,797",248,209,"24,340",201,"5,300",43,351,67,812,"1,985",846,"14,269",466
180100,"6,199","2,970",18,30,"2,922",12,372,8,52,7,114,240,87,"1,982",48
180200,"9,784","4,223",65,52,"4,106",34,800,9,40,6,141,287,141,"2,601",47
180300,"15,978","6,673",76,54,"6,543",57,"1,006",18,69,16,249,322,311,"4,440",55
180400,"17,797","7,724",61,77,"7,586",39,"1,348",17,82,27,652,510,357,"4,498",56
180500,"25,340","12,035",86,136,"11,813",77,"2,479",27,237,21,482,868,412,"7,048",162
180600,"19,539","8,295",125,86,"8,084",58,"1,977",16,127,12,323,506,331,"4,635",99
180700,"11,415","4,472",53,53,"4,366",17,795,6,68,10,166,279,174,"2,793",58
180800,"9,428","4,251",99,36,"4,116",32,788,11,45,3,117,314,153,"2,622",31
180900,"13,473","5,822",88,73,"5,661",25,"1,187",10,96,11,225,509,202,"3,321",75
181000,"9,244","4,807",78,54,"4,675",34,715,7,43,5,201,389,117,"3,115",49
181100,"8,456","3,689",35,45,"3,609",21,604,6,61,5,140,222,238,"2,267",45
181200,"3,494","1,347",20,23,"1,304",8,272,3,18,6,100,113,52,717,15
181300,"10,927","5,027",41,57,"4,929",35,"1,100",13,59,18,230,366,224,"2,844",40
181400,"11,226","5,051",87,63,"4,901",36,839,15,41,8,185,409,193,"3,126",49
181500,"7,406","3,202",26,26,"3,150",16,558,13,36,18,269,263,133,"1,818",26
181600,"16,899","8,115",99,95,"7,921",57,"1,884",24,107,19,351,604,290,"4,480",105
181700,"13,987","5,505",59,63,"5,383",41,759,7,46,10,227,313,166,"3,770",44
181800,"6,297","3,024",36,31,"2,957",10,435,7,20,4,86,164,115,"2,103",13
181900,"5,808","2,631",16,26,"2,589",16,472,8,23,12,112,200,121,"1,602",23
182000,"7,822","3,233",20,34,"3,179",30,492,6,49,6,149,287,90,"2,046",24
182100,"27,908","13,665",204,139,"13,322",79,"2,168",36,160,29,442,896,443,"8,902",167
182200,"6,879","2,446",30,14,"2,402",31,311,5,28,4,65,141,51,"1,749",17
182300,"95,923","45,704",554,453,"44,697",323,"8,686",63,514,86,"1,471","3,419","1,417","27,733",985
182400,"9,738","5,153",82,43,"5,028",29,946,18,47,12,208,381,156,"3,182",49
310100,"12,241","5,504",34,123,"5,347",40,264,15,602,30,64,432,97,"3,693",110
310200,"32,076","13,829",75,305,"13,449",139,"1,056",66,"2,252",90,140,"1,349",360,"7,738",259
310300,"106,437","49,839",269,787,"48,783",333,"6,117",111,"11,729",154,355,"4,655","1,291","22,745","1,293"
310400,"20,840","8,749",50,141,"8,558",56,"1,533",37,"1,490",24,91,859,343,"3,979",146
310500,"9,737","3,933",13,70,"3,850",35,308,15,448,28,37,369,106,"2,435",69
310600,"3,196","1,453",15,29,"1,409",23,185,4,134,8,13,77,51,899,15
310700,"13,904","6,063",50,148,"5,865",55,490,30,941,35,60,587,154,"3,381",132
